name,chr,start,stop,
CG18233,3L,18605472,18607349,"{""name"":""CG18233"",""chr"":""3L"",""start"":18605472,""stop"":18607349},"
CG18231,3L,18607462,18609512,"{""name"":""CG18231"",""chr"":""3L"",""start"":18607462,""stop"":18609512},"
CG13380,3L,18600150,18617943,"{""name"":""CG13380"",""chr"":""3L"",""start"":18600150,""stop"":18617943},"
MYPT-75D,3L,18625959,18667177,"{""name"":""MYPT-75D"",""chr"":""3L"",""start"":18625959,""stop"":18667177},"
Sgf11,3L,18681037,18681836,"{""name"":""Sgf11"",""chr"":""3L"",""start"":18681037,""stop"":18681836},"
Chmp1,3L,18682895,18684061,"{""name"":""Chmp1"",""chr"":""3L"",""start"":18682895,""stop"":18684061},"
Cyp12c1,3L,18684259,18686319,"{""name"":""Cyp12c1"",""chr"":""3L"",""start"":18684259,""stop"":18686319},"
CG6893,3L,18694187,18695648,"{""name"":""CG6893"",""chr"":""3L"",""start"":18694187,""stop"":18695648},"
Dic4,3L,18696402,18698412,"{""name"":""Dic4"",""chr"":""3L"",""start"":18696402,""stop"":18698412},"
CG12477,3L,18721893,18723272,"{""name"":""CG12477"",""chr"":""3L"",""start"":18721893,""stop"":18723272},"
CG6885,3L,18744488,18745699,"{""name"":""CG6885"",""chr"":""3L"",""start"":18744488,""stop"":18745699},"
MED11,3L,18745856,18746623,"{""name"":""MED11"",""chr"":""3L"",""start"":18745856,""stop"":18746623},"
Nufip,3L,18746611,18748367,"{""name"":""Nufip"",""chr"":""3L"",""start"":18746611,""stop"":18748367},"
Atg3,3L,18748687,18750483,"{""name"":""Atg3"",""chr"":""3L"",""start"":18748687,""stop"":18750483},"
CG14073,3L,18802265,18820675,"{""name"":""CG14073"",""chr"":""3L"",""start"":18802265,""stop"":18820675},"
HipHop,3L,18821171,18822353,"{""name"":""HipHop"",""chr"":""3L"",""start"":18821171,""stop"":18822353},"
Indy,3L,18828632,18846267,"{""name"":""Indy"",""chr"":""3L"",""start"":18828632,""stop"":18846267},"
CG6865,3L,18863647,18865514,"{""name"":""CG6865"",""chr"":""3L"",""start"":18863647,""stop"":18865514},"
CG14074,3L,18866225,18867431,"{""name"":""CG14074"",""chr"":""3L"",""start"":18866225,""stop"":18867431},"
Dysb,3L,18867771,18869219,"{""name"":""Dysb"",""chr"":""3L"",""start"":18867771,""stop"":18869219},"
Grx1,3L,18869230,18870057,"{""name"":""Grx1"",""chr"":""3L"",""start"":18869230,""stop"":18870057},"
CG3961,3L,18878250,18890483,"{""name"":""CG3961"",""chr"":""3L"",""start"":18878250,""stop"":18890483},"
NijB,3L,18892383,18893278,"{""name"":""NijB"",""chr"":""3L"",""start"":18892383,""stop"":18893278},"
CG3902,3L,18893120,18898293,"{""name"":""CG3902"",""chr"":""3L"",""start"":18893120,""stop"":18898293},"
RpL26,3L,18898875,18900408,"{""name"":""RpL26"",""chr"":""3L"",""start"":18898875,""stop"":18900408},"
arx,3L,18900595,18901554,"{""name"":""arx"",""chr"":""3L"",""start"":18900595,""stop"":18901554},"
CG6843,3L,18901594,18902952,"{""name"":""CG6843"",""chr"":""3L"",""start"":18901594,""stop"":18902952},"
Prp6,3L,18905372,18908974,"{""name"":""Prp6"",""chr"":""3L"",""start"":18905372,""stop"":18908974},"
Ir75d,3L,18908260,18911182,"{""name"":""Ir75d"",""chr"":""3L"",""start"":18908260,""stop"":18911182},"
COX6AL2,3L,18908260,18914150,"{""name"":""COX6AL2"",""chr"":""3L"",""start"":18908260,""stop"":18914150},"
CG6839,3L,18917581,18919259,"{""name"":""CG6839"",""chr"":""3L"",""start"":18917581,""stop"":18919259},"
CG18223,3L,18919224,18920319,"{""name"":""CG18223"",""chr"":""3L"",""start"":18919224,""stop"":18920319},"
CG3819,3L,18920430,18922108,"{""name"":""CG3819"",""chr"":""3L"",""start"":18920430,""stop"":18922108},"
CG6836,3L,18950629,18955406,"{""name"":""CG6836"",""chr"":""3L"",""start"":18950629,""stop"":18955406},"
CG14075,3L,18984961,18985634,"{""name"":""CG14075"",""chr"":""3L"",""start"":18984961,""stop"":18985634},"
CG11619,3L,18985905,18988323,"{""name"":""CG11619"",""chr"":""3L"",""start"":18985905,""stop"":18988323},"
CG18135,3L,18990026,18998283,"{""name"":""CG18135"",""chr"":""3L"",""start"":18990026,""stop"":18998283},"
CG3808,3L,18997875,19000608,"{""name"":""CG3808"",""chr"":""3L"",""start"":18997875,""stop"":19000608},"
SmydA-2,3L,19000985,19003252,"{""name"":""SmydA-2"",""chr"":""3L"",""start"":19000985,""stop"":19003252},"
Ugt316A1,3L,19059400,19062816,"{""name"":""Ugt316A1"",""chr"":""3L"",""start"":19059400,""stop"":19062816},"
Sfxn2,3L,19063165,19066151,"{""name"":""Sfxn2"",""chr"":""3L"",""start"":19063165,""stop"":19066151},"
Mkp3,3L,19066155,19086426,"{""name"":""Mkp3"",""chr"":""3L"",""start"":19066155,""stop"":19086426},"
MESR6,3L,19092670,19094760,"{""name"":""MESR6"",""chr"":""3L"",""start"":19092670,""stop"":19094760},"
CNPYb,3L,19094890,19096217,"{""name"":""CNPYb"",""chr"":""3L"",""start"":19094890,""stop"":19096217},"
Naxd,3L,19096399,19097709,"{""name"":""Naxd"",""chr"":""3L"",""start"":19096399,""stop"":19097709},"
CG14079,3L,19097999,19099064,"{""name"":""CG14079"",""chr"":""3L"",""start"":19097999,""stop"":19099064},"
Gem2,3L,19099123,19100363,"{""name"":""Gem2"",""chr"":""3L"",""start"":19099123,""stop"":19100363},"
CG14082,3L,19105381,19138975,"{""name"":""CG14082"",""chr"":""3L"",""start"":19105381,""stop"":19138975},"
mRpL21,3L,19253290,19255061,"{""name"":""mRpL21"",""chr"":""3L"",""start"":19253290,""stop"":19255061},"
Mettl5,3L,19263766,19266838,"{""name"":""Mettl5"",""chr"":""3L"",""start"":19263766,""stop"":19266838},"
Aldh7A1,3L,19266473,19268913,"{""name"":""Aldh7A1"",""chr"":""3L"",""start"":19266473,""stop"":19268913},"
CG14088,3L,19269772,19270642,"{""name"":""CG14088"",""chr"":""3L"",""start"":19269772,""stop"":19270642},"
CG14085,3L,19269351,19274168,"{""name"":""CG14085"",""chr"":""3L"",""start"":19269351,""stop"":19274168},"
CG14086,3L,19275791,19279919,"{""name"":""CG14086"",""chr"":""3L"",""start"":19275791,""stop"":19279919},"
CG14089,3L,19280120,19280800,"{""name"":""CG14089"",""chr"":""3L"",""start"":19280120,""stop"":19280800},"
Gbs-76A,3L,19281364,19292766,"{""name"":""Gbs-76A"",""chr"":""3L"",""start"":19281364,""stop"":19292766},"
ms(3)76Ba,3L,19387580,19390033,"{""name"":""ms(3)76Ba"",""chr"":""3L"",""start"":19387580,""stop"":19390033},"
CG14095,3L,19464049,19464759,"{""name"":""CG14095"",""chr"":""3L"",""start"":19464049,""stop"":19464759},"
CG14096,3L,19466567,19467079,"{""name"":""CG14096"",""chr"":""3L"",""start"":19466567,""stop"":19467079},"
CG12519,3L,19472491,19473145,"{""name"":""CG12519"",""chr"":""3L"",""start"":19472491,""stop"":19473145},"
CG18294,3L,19475017,19475578,"{""name"":""CG18294"",""chr"":""3L"",""start"":19475017,""stop"":19475578},"
brv1,3L,19483826,19486498,"{""name"":""brv1"",""chr"":""3L"",""start"":19483826,""stop"":19486498},"
CG9449,3L,19492053,19497723,"{""name"":""CG9449"",""chr"":""3L"",""start"":19492053,""stop"":19497723},"
CG9451,3L,19498197,19500798,"{""name"":""CG9451"",""chr"":""3L"",""start"":19498197,""stop"":19500798},"
CG9452,3L,19501010,19503870,"{""name"":""CG9452"",""chr"":""3L"",""start"":19501010,""stop"":19503870},"
Cpr76Ba,3L,19517552,19518332,"{""name"":""Cpr76Ba"",""chr"":""3L"",""start"":19517552,""stop"":19518332},"
Cpr76Bb,3L,19519649,19520419,"{""name"":""Cpr76Bb"",""chr"":""3L"",""start"":19519649,""stop"":19520419},"
Cpr76Bc,3L,19520945,19527272,"{""name"":""Cpr76Bc"",""chr"":""3L"",""start"":19520945,""stop"":19527272},"
Cpr76Bd,3L,19532743,19538289,"{""name"":""Cpr76Bd"",""chr"":""3L"",""start"":19532743,""stop"":19538289},"
CG9279,3L,19538425,19544205,"{""name"":""CG9279"",""chr"":""3L"",""start"":19538425,""stop"":19544205},"
CG9300,3L,19552420,19554767,"{""name"":""CG9300"",""chr"":""3L"",""start"":19552420,""stop"":19554767},"
CG9231,3L,19585093,19586003,"{""name"":""CG9231"",""chr"":""3L"",""start"":19585093,""stop"":19586003},"
CG9330,3L,19586253,19589111,"{""name"":""CG9330"",""chr"":""3L"",""start"":19586253,""stop"":19589111},"
CG14100,3L,19589072,19590524,"{""name"":""CG14100"",""chr"":""3L"",""start"":19589072,""stop"":19590524},"
CG9368,3L,19601633,19604120,"{""name"":""CG9368"",""chr"":""3L"",""start"":19601633,""stop"":19604120},"
CG9372,3L,19606208,19608368,"{""name"":""CG9372"",""chr"":""3L"",""start"":19606208,""stop"":19608368},"
Lon,3L,19607857,19612199,"{""name"":""Lon"",""chr"":""3L"",""start"":19607857,""stop"":19612199},"
PIG-F,3L,19612455,19613489,"{""name"":""PIG-F"",""chr"":""3L"",""start"":19612455,""stop"":19613489},"
ms(3)76Cc,3L,19620502,19624309,"{""name"":""ms(3)76Cc"",""chr"":""3L"",""start"":19620502,""stop"":19624309},"
wnd,3L,19624406,19635783,"{""name"":""wnd"",""chr"":""3L"",""start"":19624406,""stop"":19635783},"
Rnf146,3L,19637207,19642816,"{""name"":""Rnf146"",""chr"":""3L"",""start"":19637207,""stop"":19642816},"
tey,3L,19650506,19664104,"{""name"":""tey"",""chr"":""3L"",""start"":19650506,""stop"":19664104},"
CG8765,3L,19683941,19687353,"{""name"":""CG8765"",""chr"":""3L"",""start"":19683941,""stop"":19687353},"
ms(3)76Ca,3L,19760409,19761817,"{""name"":""ms(3)76Ca"",""chr"":""3L"",""start"":19760409,""stop"":19761817},"
CG14102,3L,19798975,19801291,"{""name"":""CG14102"",""chr"":""3L"",""start"":19798975,""stop"":19801291},"
TORIP,3L,19803738,19805080,"{""name"":""TORIP"",""chr"":""3L"",""start"":19803738,""stop"":19805080},"
Ccdc58,3L,19805181,19806932,"{""name"":""Ccdc58"",""chr"":""3L"",""start"":19805181,""stop"":19806932},"
Cyp305a1,3L,19810403,19813339,"{""name"":""Cyp305a1"",""chr"":""3L"",""start"":19810403,""stop"":19813339},"
Fibp,3L,19816085,19817967,"{""name"":""Fibp"",""chr"":""3L"",""start"":19816085,""stop"":19817967},"
Usp32,3L,19871139,19881783,"{""name"":""Usp32"",""chr"":""3L"",""start"":19871139,""stop"":19881783},"
Prp3,3L,19910300,19912504,"{""name"":""Prp3"",""chr"":""3L"",""start"":19910300,""stop"":19912504},"
Mtr3,3L,19912405,19913715,"{""name"":""Mtr3"",""chr"":""3L"",""start"":19912405,""stop"":19913715},"
Pfdn6,3L,19923671,19924688,"{""name"":""Pfdn6"",""chr"":""3L"",""start"":19923671,""stop"":19924688},"
Grasp65,3L,19924943,19927175,"{""name"":""Grasp65"",""chr"":""3L"",""start"":19924943,""stop"":19927175},"
CG8004,3L,19927194,19928508,"{""name"":""CG8004"",""chr"":""3L"",""start"":19927194,""stop"":19928508},"
RhoGDI,3L,19928743,19932930,"{""name"":""RhoGDI"",""chr"":""3L"",""start"":19928743,""stop"":19932930},"
CG14182,3L,19978713,19979812,"{""name"":""CG14182"",""chr"":""3L"",""start"":19978713,""stop"":19979812},"
CG17732,3L,19981685,19984191,"{""name"":""CG17732"",""chr"":""3L"",""start"":19981685,""stop"":19984191},"
hale,3L,19984426,19985868,"{""name"":""hale"",""chr"":""3L"",""start"":19984426,""stop"":19985868},"
schuy,3L,19986093,19988072,"{""name"":""schuy"",""chr"":""3L"",""start"":19986093,""stop"":19988072},"
CG7646,3L,19991887,19996269,"{""name"":""CG7646"",""chr"":""3L"",""start"":19991887,""stop"":19996269},"
Gabat,3L,19997714,20000686,"{""name"":""Gabat"",""chr"":""3L"",""start"":19997714,""stop"":20000686},"
Tom20,3L,20000644,20002446,"{""name"":""Tom20"",""chr"":""3L"",""start"":20000644,""stop"":20002446},"
CG7668,3L,20002736,20004834,"{""name"":""CG7668"",""chr"":""3L"",""start"":20002736,""stop"":20004834},"
CG14183,3L,20024687,20027835,"{""name"":""CG14183"",""chr"":""3L"",""start"":20024687,""stop"":20027835},"
Lamtor1,3L,20027819,20029020,"{""name"":""Lamtor1"",""chr"":""3L"",""start"":20027819,""stop"":20029020},"
sNPF-R,3L,20058511,20089007,"{""name"":""sNPF-R"",""chr"":""3L"",""start"":20058511,""stop"":20089007},"
CG14186,3L,20098084,20103827,"{""name"":""CG14186"",""chr"":""3L"",""start"":20098084,""stop"":20103827},"
CG14185,3L,20106094,20107557,"{""name"":""CG14185"",""chr"":""3L"",""start"":20106094,""stop"":20107557},"
Ir76b,3L,20108484,20111534,"{""name"":""Ir76b"",""chr"":""3L"",""start"":20108484,""stop"":20111534},"
CG14187,3L,20112265,20112847,"{""name"":""CG14187"",""chr"":""3L"",""start"":20112265,""stop"":20112847},"
CG7365,3L,20124298,20127381,"{""name"":""CG7365"",""chr"":""3L"",""start"":20124298,""stop"":20127381},"
obst-J,3L,20130451,20131743,"{""name"":""obst-J"",""chr"":""3L"",""start"":20130451,""stop"":20131743},"
CG7335,3L,20132032,20133268,"{""name"":""CG7335"",""chr"":""3L"",""start"":20132032,""stop"":20133268},"
CG7328,3L,20139210,20140607,"{""name"":""CG7328"",""chr"":""3L"",""start"":20139210,""stop"":20140607},"
Ssk,3L,20188522,20189779,"{""name"":""Ssk"",""chr"":""3L"",""start"":20188522,""stop"":20189779},"
obst-F,3L,20200443,20201638,"{""name"":""obst-F"",""chr"":""3L"",""start"":20200443,""stop"":20201638},"
CG7298,3L,20202070,20203687,"{""name"":""CG7298"",""chr"":""3L"",""start"":20202070,""stop"":20203687},"
CG7290,3L,20204309,20206046,"{""name"":""CG7290"",""chr"":""3L"",""start"":20204309,""stop"":20206046},"
CG6996,3L,20207534,20209600,"{""name"":""CG6996"",""chr"":""3L"",""start"":20207534,""stop"":20209600},"
CG7017,3L,20210292,20212122,"{""name"":""CG7017"",""chr"":""3L"",""start"":20210292,""stop"":20212122},"
CG6933,3L,20218500,20220420,"{""name"":""CG6933"",""chr"":""3L"",""start"":20218500,""stop"":20220420},"
CG17145,3L,20221814,20223197,"{""name"":""CG17145"",""chr"":""3L"",""start"":20221814,""stop"":20223197},"
CG13813,3L,20231669,20233255,"{""name"":""CG13813"",""chr"":""3L"",""start"":20231669,""stop"":20233255},"
CG17233,3L,20233173,20241903,"{""name"":""CG17233"",""chr"":""3L"",""start"":20233173,""stop"":20241903},"
CG6951,3L,20241267,20245312,"{""name"":""CG6951"",""chr"":""3L"",""start"":20241267,""stop"":20245312},"
CG17122,3L,20273389,20275335,"{""name"":""CG17122"",""chr"":""3L"",""start"":20273389,""stop"":20275335},"
FRG1,3L,20295802,20296971,"{""name"":""FRG1"",""chr"":""3L"",""start"":20295802,""stop"":20296971},"
SCCRO4,3L,20299410,20309511,"{""name"":""SCCRO4"",""chr"":""3L"",""start"":20299410,""stop"":20309511},"
Spn77Bb,3L,20320952,20322358,"{""name"":""Spn77Bb"",""chr"":""3L"",""start"":20320952,""stop"":20322358},"
Spn77Bc,3L,20342634,20344319,"{""name"":""Spn77Bc"",""chr"":""3L"",""start"":20342634,""stop"":20344319},"
CR6434,3L,20322377,20323209,"{""name"":""CR6434"",""chr"":""3L"",""start"":20322377,""stop"":20323209},"
Rbbp5,3L,20345736,20347942,"{""name"":""Rbbp5"",""chr"":""3L"",""start"":20345736,""stop"":20347942},"
eRF1,3L,20348355,20353873,"{""name"":""eRF1"",""chr"":""3L"",""start"":20348355,""stop"":20353873},"
CG5618,3L,20353449,20356632,"{""name"":""CG5618"",""chr"":""3L"",""start"":20353449,""stop"":20356632},"
CG5665,3L,20358512,20359820,"{""name"":""CG5665"",""chr"":""3L"",""start"":20358512,""stop"":20359820},"
Toll-9,3L,20361843,20366724,"{""name"":""Toll-9"",""chr"":""3L"",""start"":20361843,""stop"":20366724},"
CG13247,3L,20370313,20371746,"{""name"":""CG13247"",""chr"":""3L"",""start"":20370313,""stop"":20371746},"
RhoBTB,3L,20376242,20382398,"{""name"":""RhoBTB"",""chr"":""3L"",""start"":20376242,""stop"":20382398},"
CG13248,3L,20407103,20410566,"{""name"":""CG13248"",""chr"":""3L"",""start"":20407103,""stop"":20410566},"
zye,3L,20413604,20424309,"{""name"":""zye"",""chr"":""3L"",""start"":20413604,""stop"":20424309},"
CG5282,3L,20424424,20426071,"{""name"":""CG5282"",""chr"":""3L"",""start"":20424424,""stop"":20426071},"
CG5274,3L,20426199,20427666,"{""name"":""CG5274"",""chr"":""3L"",""start"":20426199,""stop"":20427666},"
CG5262,3L,20427962,20430475,"{""name"":""CG5262"",""chr"":""3L"",""start"":20427962,""stop"":20430475},"
mRpL15,3L,20435110,20436209,"{""name"":""mRpL15"",""chr"":""3L"",""start"":20435110,""stop"":20436209},"
CtIP,3L,20436250,20438370,"{""name"":""CtIP"",""chr"":""3L"",""start"":20436250,""stop"":20438370},"
Hpd,3L,20438166,20439872,"{""name"":""Hpd"",""chr"":""3L"",""start"":20438166,""stop"":20439872},"
CG5910,3L,20442419,20450580,"{""name"":""CG5910"",""chr"":""3L"",""start"":20442419,""stop"":20450580},"
CG5199,3L,20450532,20452864,"{""name"":""CG5199"",""chr"":""3L"",""start"":20450532,""stop"":20452864},"
atk,3L,20454690,20464862,"{""name"":""atk"",""chr"":""3L"",""start"":20454690,""stop"":20464862},"
mag,3L,20460683,20462274,"{""name"":""mag"",""chr"":""3L"",""start"":20460683,""stop"":20462274},"
CG5955,3L,20466944,20469592,"{""name"":""CG5955"",""chr"":""3L"",""start"":20466944,""stop"":20469592},"
CG5969,3L,20473783,20474791,"{""name"":""CG5969"",""chr"":""3L"",""start"":20473783,""stop"":20474791},"
isoQC,3L,20474466,20477003,"{""name"":""isoQC"",""chr"":""3L"",""start"":20474466,""stop"":20477003},"
ZnT77C,3L,20484293,20494921,"{""name"":""ZnT77C"",""chr"":""3L"",""start"":20484293,""stop"":20494921},"
ND-39,3L,20492082,20497084,"{""name"":""ND-39"",""chr"":""3L"",""start"":20492082,""stop"":20497084},"
CG18281,3L,20499836,20501500,"{""name"":""CG18281"",""chr"":""3L"",""start"":20499836,""stop"":20501500},"
CG17637,3L,20504186,20505700,"{""name"":""CG17637"",""chr"":""3L"",""start"":20504186,""stop"":20505700},"
CG5078,3L,20506032,20507375,"{""name"":""CG5078"",""chr"":""3L"",""start"":20506032,""stop"":20507375},"
BNIP3,3L,20514598,20519393,"{""name"":""BNIP3"",""chr"":""3L"",""start"":20514598,""stop"":20519393},"
mTerf3,3L,20519590,20520772,"{""name"":""mTerf3"",""chr"":""3L"",""start"":20519590,""stop"":20520772},"
CG5104,3L,20521009,20522434,"{""name"":""CG5104"",""chr"":""3L"",""start"":20521009,""stop"":20522434},"
Nubp2,3L,20526576,20527910,"{""name"":""Nubp2"",""chr"":""3L"",""start"":20526576,""stop"":20527910},"
Rcd2,3L,20527972,20540417,"{""name"":""Rcd2"",""chr"":""3L"",""start"":20527972,""stop"":20540417},"
CG13250,3L,20533709,20535335,"{""name"":""CG13250"",""chr"":""3L"",""start"":20533709,""stop"":20535335},"
CG13251,3L,20637199,20640910,"{""name"":""CG13251"",""chr"":""3L"",""start"":20637199,""stop"":20640910},"
cmpy,3L,20712838,20719200,"{""name"":""cmpy"",""chr"":""3L"",""start"":20712838,""stop"":20719200},"
CG13252,3L,20730591,20744508,"{""name"":""CG13252"",""chr"":""3L"",""start"":20730591,""stop"":20744508},"
CG4074,3L,20768207,20769500,"{""name"":""CG4074"",""chr"":""3L"",""start"":20768207,""stop"":20769500},"
CG4042,3L,20770143,20771507,"{""name"":""CG4042"",""chr"":""3L"",""start"":20770143,""stop"":20771507},"
Pex16,3L,20776766,20778264,"{""name"":""Pex16"",""chr"":""3L"",""start"":20776766,""stop"":20778264},"
Pex14,3L,20778799,20780378,"{""name"":""Pex14"",""chr"":""3L"",""start"":20778799,""stop"":20780378},"
Pcif1,3L,20780350,20786197,"{""name"":""Pcif1"",""chr"":""3L"",""start"":20780350,""stop"":20786197},"
CG11396,3L,20786340,20788137,"{""name"":""CG11396"",""chr"":""3L"",""start"":20786340,""stop"":20788137},"
CG3698,3L,20797241,20798375,"{""name"":""CG3698"",""chr"":""3L"",""start"":20797241,""stop"":20798375},"
tzn,3L,20798645,20800081,"{""name"":""tzn"",""chr"":""3L"",""start"":20798645,""stop"":20800081},"
Spc105R,3L,20800410,20806853,"{""name"":""Spc105R"",""chr"":""3L"",""start"":20800410,""stop"":20806853},"
CG3634,3L,20806868,20809272,"{""name"":""CG3634"",""chr"":""3L"",""start"":20806868,""stop"":20809272},"
HIPP1,3L,20809669,20813332,"{""name"":""HIPP1"",""chr"":""3L"",""start"":20809669,""stop"":20813332},"
CG3618,3L,20813353,20816075,"{""name"":""CG3618"",""chr"":""3L"",""start"":20813353,""stop"":20816075},"
CG3288,3L,20836182,20837153,"{""name"":""CG3288"",""chr"":""3L"",""start"":20836182,""stop"":20837153},"
CG11456,3L,20841987,20844340,"{""name"":""CG11456"",""chr"":""3L"",""start"":20841987,""stop"":20844340},"
CG10589,3L,20927826,20929190,"{""name"":""CG10589"",""chr"":""3L"",""start"":20927826,""stop"":20929190},"
Sems,3L,20955755,20956750,"{""name"":""Sems"",""chr"":""3L"",""start"":20955755,""stop"":20956750},"
CG10588,3L,20956934,20960660,"{""name"":""CG10588"",""chr"":""3L"",""start"":20956934,""stop"":20960660},"
CG11037,3L,20960398,20961386,"{""name"":""CG11037"",""chr"":""3L"",""start"":20960398,""stop"":20961386},"
CG10587,3L,20961537,20962555,"{""name"":""CG10587"",""chr"":""3L"",""start"":20961537,""stop"":20962555},"
CG12983,3L,20962655,20966762,"{""name"":""CG12983"",""chr"":""3L"",""start"":20962655,""stop"":20966762},"
CG12984,3L,20991673,20992930,"{""name"":""CG12984"",""chr"":""3L"",""start"":20991673,""stop"":20992930},"
Pdss2,3L,21027915,21030141,"{""name"":""Pdss2"",""chr"":""3L"",""start"":21027915,""stop"":21030141},"
CG10584,3L,21030280,21031360,"{""name"":""CG10584"",""chr"":""3L"",""start"":21030280,""stop"":21031360},"
CG10581,3L,21033554,21034203,"{""name"":""CG10581"",""chr"":""3L"",""start"":21033554,""stop"":21034203},"
ICA69,3L,21131446,21133310,"{""name"":""ICA69"",""chr"":""3L"",""start"":21131446,""stop"":21133310},"
CG10565,3L,21133250,21136353,"{""name"":""CG10565"",""chr"":""3L"",""start"":21133250,""stop"":21136353},"
CG10512,3L,21202920,21208092,"{""name"":""CG10512"",""chr"":""3L"",""start"":21202920,""stop"":21208092},"
CG10510,3L,21208148,21210084,"{""name"":""CG10510"",""chr"":""3L"",""start"":21208148,""stop"":21210084},"
CG10508,3L,21210215,21216051,"{""name"":""CG10508"",""chr"":""3L"",""start"":21210215,""stop"":21216051},"
Trmt112,3L,21215995,21216839,"{""name"":""Trmt112"",""chr"":""3L"",""start"":21215995,""stop"":21216839},"
CG9391,3L,21266680,21268335,"{""name"":""CG9391"",""chr"":""3L"",""start"":21266680,""stop"":21268335},"
CG9389,3L,21268392,21270580,"{""name"":""CG9389"",""chr"":""3L"",""start"":21268392,""stop"":21270580},"
CG12974,3L,21281752,21285962,"{""name"":""CG12974"",""chr"":""3L"",""start"":21281752,""stop"":21285962},"
Cpr78Ca,3L,21291860,21292800,"{""name"":""Cpr78Ca"",""chr"":""3L"",""start"":21291860,""stop"":21292800},"
Cpr78Cb,3L,21294492,21296698,"{""name"":""Cpr78Cb"",""chr"":""3L"",""start"":21294492,""stop"":21296698},"
Cpr78Cc,3L,21300580,21301171,"{""name"":""Cpr78Cc"",""chr"":""3L"",""start"":21300580,""stop"":21301171},"
CG11309,3L,21301785,21304658,"{""name"":""CG11309"",""chr"":""3L"",""start"":21301785,""stop"":21304658},"
CG7632,3L,21304697,21306197,"{""name"":""CG7632"",""chr"":""3L"",""start"":21304697,""stop"":21306197},"
Tsr1,3L,21335215,21338232,"{""name"":""Tsr1"",""chr"":""3L"",""start"":21335215,""stop"":21338232},"
Tbc1d8-9,3L,21337681,21343716,"{""name"":""Tbc1d8-9"",""chr"":""3L"",""start"":21337681,""stop"":21343716},"
ebd2,3L,21344768,21349288,"{""name"":""ebd2"",""chr"":""3L"",""start"":21344768,""stop"":21349288},"
CG12971,3L,21355100,21356495,"{""name"":""CG12971"",""chr"":""3L"",""start"":21355100,""stop"":21356495},"
barc,3L,21420388,21433134,"{""name"":""barc"",""chr"":""3L"",""start"":21420388,""stop"":21433134},"
CG5664,3L,21438628,21441363,"{""name"":""CG5664"",""chr"":""3L"",""start"":21438628,""stop"":21441363},"
Syx6,2R,11219539,11222480,"{""name"":""Syx6"",""chr"":""2R"",""start"":11219539,""stop"":11222480},"
Neu2,3L,21484891,21490586,"{""name"":""Neu2"",""chr"":""3L"",""start"":21484891,""stop"":21490586},"
CG7202,3L,21491399,21492773,"{""name"":""CG7202"",""chr"":""3L"",""start"":21491399,""stop"":21492773},"
CG7519,3L,21493083,21493907,"{""name"":""CG7519"",""chr"":""3L"",""start"":21493083,""stop"":21493907},"
Est-Q,3L,21501421,21503959,"{""name"":""Est-Q"",""chr"":""3L"",""start"":21501421,""stop"":21503959},"
M6,3L,21507852,21512749,"{""name"":""M6"",""chr"":""3L"",""start"":21507852,""stop"":21512749},"
Cdk12,3L,21516306,21522684,"{""name"":""Cdk12"",""chr"":""3L"",""start"":21516306,""stop"":21522684},"
CG7611,3L,21523186,21528163,"{""name"":""CG7611"",""chr"":""3L"",""start"":21523186,""stop"":21528163},"
Wnk,3L,21543850,21554928,"{""name"":""Wnk"",""chr"":""3L"",""start"":21543850,""stop"":21554928},"
CG7173,3L,21555373,21558226,"{""name"":""CG7173"",""chr"":""3L"",""start"":21555373,""stop"":21558226},"
CapaR,3L,21558974,21562181,"{""name"":""CapaR"",""chr"":""3L"",""start"":21558974,""stop"":21562181},"
CG7634,3L,21565426,21567785,"{""name"":""CG7634"",""chr"":""3L"",""start"":21565426,""stop"":21567785},"
CRIF,3L,21568059,21568898,"{""name"":""CRIF"",""chr"":""3L"",""start"":21568059,""stop"":21568898},"
S1P,3L,21613797,21617376,"{""name"":""S1P"",""chr"":""3L"",""start"":21613797,""stop"":21617376},"
CG11307,3L,21617623,21619873,"{""name"":""CG11307"",""chr"":""3L"",""start"":21617623,""stop"":21619873},"
CG7166,3L,21620000,21625647,"{""name"":""CG7166"",""chr"":""3L"",""start"":21620000,""stop"":21625647},"
Alg11,3L,21625806,21628571,"{""name"":""Alg11"",""chr"":""3L"",""start"":21625806,""stop"":21628571},"
MED1,3L,21628325,21634446,"{""name"":""MED1"",""chr"":""3L"",""start"":21628325,""stop"":21634446},"
ORMDL,3L,21635305,21636251,"{""name"":""ORMDL"",""chr"":""3L"",""start"":21635305,""stop"":21636251},"
Cpr78E,3L,21666452,21666980,"{""name"":""Cpr78E"",""chr"":""3L"",""start"":21666452,""stop"":21666980},"
CG11249,3L,21672139,21674518,"{""name"":""CG11249"",""chr"":""3L"",""start"":21672139,""stop"":21674518},"
Als2,3L,21674394,21679755,"{""name"":""Als2"",""chr"":""3L"",""start"":21674394,""stop"":21679755},"
CG11248,3L,21680050,21683231,"{""name"":""CG11248"",""chr"":""3L"",""start"":21680050,""stop"":21683231},"
CG11247,3L,21724326,21728806,"{""name"":""CG11247"",""chr"":""3L"",""start"":21724326,""stop"":21728806},"
Polr2H,3L,21728932,21729694,"{""name"":""Polr2H"",""chr"":""3L"",""start"":21728932,""stop"":21729694},"
